filename,dapi_ssim,panck_ssim,cd3_ssim,average_ssim,dapi_pearson,panck_pearson,cd3_pearson,average_pearson,dapi_psnr,panck_psnr,cd3_psnr,average_psnr
"[18778,52957]_patch_6_8",0.9473,0.6621,0.8682,0.8259,0.0088,0.6021,0.9731,0.5280,26.61,17.91,30.14,24.89
"[19129,51780]_patch_0_0",0.5996,0.8487,0.7942,0.7475,0.7818,0.6052,0.9633,0.7834,20.36,22.49,26.56,23.14
"[19129,51780]_patch_0_1",0.6418,0.8907,0.7925,0.7750,0.8184,0.6249,0.9624,0.8019,19.71,24.53,26.27,23.50
"[19129,51780]_patch_0_2",0.7058,0.9064,0.8033,0.8052,0.8507,0.5983,0.9622,0.8037,20.64,24.13,26.71,23.82
"[19129,51780]_patch_0_3",0.6603,0.8954,0.8017,0.7858,0.8169,0.6354,0.9610,0.8044,20.22,24.11,26.63,23.66
"[19129,51780]_patch_0_4",0.5912,0.9292,0.7876,0.7693,0.7672,0.7058,0.9598,0.8110,18.61,26.65,25.63,23.63
"[19129,51780]_patch_0_5",0.6014,0.9602,0.7861,0.7826,0.7641,0.5886,0.9575,0.7701,19.08,28.12,25.21,24.14
"[19129,51780]_patch_0_6",0.5858,0.9500,0.7986,0.7781,0.7880,0.4656,0.9631,0.7389,18.66,27.04,25.49,23.73
"[19129,51780]_patch_0_7",0.5071,0.9490,0.8261,0.7607,0.7687,0.4079,0.9692,0.7153,16.68,27.63,27.11,23.81
"[19129,51780]_patch_0_8",0.4895,0.9519,0.8269,0.7561,0.7954,0.7270,0.9665,0.8296,15.78,27.04,26.71,23.18
