filename,dapi_ssim,panck_ssim,cd3_ssim,average_ssim,dapi_pearson,panck_pearson,cd3_pearson,average_pearson,dapi_psnr,panck_psnr,cd3_psnr,average_psnr
"[17039,52008]_patch_0_2",0.3255,0.2954,0.6884,0.4364,0.3620,0.2341,0.9411,0.5124,10.97,10.75,20.17,13.96
"[17039,52008]_patch_0_3",0.8561,0.2481,0.6707,0.5916,0.3129,0.2493,0.9345,0.4989,21.75,11.39,20.38,17.84
"[17039,52008]_patch_0_4",0.3864,0.3357,0.6772,0.4664,0.6734,0.2319,0.9249,0.6100,15.62,15.95,19.01,16.86
"[17039,52008]_patch_0_5",0.5677,0.9521,0.6508,0.7235,0.8466,0.1960,0.9364,0.6597,14.29,25.66,16.18,18.71
"[17039,52008]_patch_0_6",0.5010,0.6557,0.6631,0.6066,0.7302,0.1905,0.9098,0.6102,16.04,16.37,16.81,16.41
"[17039,52008]_patch_0_7",0.0942,0.0714,0.6806,0.2820,0.3082,0.1967,0.9445,0.4831,13.44,13.14,22.58,16.38
"[17039,52008]_patch_0_8",0.3935,0.1443,0.6745,0.4041,0.7205,0.1419,0.9456,0.6026,17.90,16.61,21.51,18.67
"[17039,52008]_patch_1_0",0.2333,0.4144,0.6640,0.4372,0.6393,0.2229,0.9463,0.6028,17.05,14.75,22.99,18.26
"[17039,52008]_patch_1_1",0.4281,0.3847,0.6871,0.5000,0.8133,0.3439,0.9350,0.6974,15.00,16.03,21.55,17.53
"[17039,52008]_patch_1_2",0.4727,0.3762,0.6818,0.5102,0.8225,0.2117,0.9337,0.6559,16.02,15.23,20.21,17.16
"[17039,52008]_patch_1_3",0.0800,0.0692,0.6778,0.2757,0.1560,0.2032,0.9389,0.4327,11.32,11.42,19.92,14.22
"[17039,52008]_patch_1_4",0.1876,0.2026,0.6723,0.3542,0.4757,0.1633,0.9292,0.5227,12.19,18.13,17.84,16.05
"[17039,52008]_patch_1_5",0.3263,0.2237,0.6471,0.3991,0.7001,0.0684,0.9249,0.5645,13.51,17.10,16.70,15.77
"[17039,52008]_patch_1_6",0.1898,0.2350,0.6684,0.3644,0.5991,0.1018,0.9299,0.5436,13.92,11.67,18.39,14.66
"[17039,52008]_patch_1_7",0.1446,0.2947,0.6808,0.3734,0.3627,0.2309,0.9438,0.5125,13.63,14.48,23.72,17.28
"[17039,52008]_patch_1_8",0.5479,0.2363,0.6696,0.4846,0.8042,0.2825,0.9403,0.6757,16.13,18.57,18.94,17.88
"[17039,52008]_patch_2_0",0.3097,0.3090,0.8072,0.4753,0.6990,0.1859,0.9222,0.6024,14.65,19.49,23.25,19.13
"[17039,52008]_patch_2_1",0.5972,0.8494,0.7760,0.7409,0.8629,0.3045,0.9181,0.6952,14.79,21.83,19.02,18.55
"[17039,52008]_patch_2_2",0.5596,0.6627,0.6712,0.6312,0.8725,0.2776,0.9300,0.6934,16.49,17.76,18.29,17.51
